Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Indonesia,IDN,Total fisheries production (metric tons),ER.FSH.PROD.MT,761726,914831,947226,939226,1004026,1074834,1241615,1198425,1180043,1234856,1257237,1273345,1296840,1294464,1361968,1376587,1486531,1587838,1668173,1770102,1877966,1946999,2026597,2248470,2313098,2452706,2607773,2762811,2962118,3104771,3268345,3423702,3629140,3923323,4156796,4388520,4648537,4696019,4771965,4901521.5,5162648.6,5426091,5557180,5938850,6222717,6845512,7298061,8197462,8874015,9840853.53,11680137.49,13713525.54,15482034.18,19457964.04,20924233.13,22406166.27,22594121.92,23204259.29,23193914.67,22767684.46,21837117.24,,
IDA only,IDX,Total fisheries production (metric tons),ER.FSH.PROD.MT,1561167,1645517,1752127,1802707,1944307,2069937,2141028,2262140,2400560,2534439,2721131,2901347,3076787,3140227,3154833,3088157,3111506,3260949,3200888,3116879,3157722,3222019,3250425,3437053.24,3699331.14,3871712.11,4042839.32,4225230.78,4318588.28,4366537.72,4573251.56,4539684.52,4800536.03,4831033.39,4752027.38,5113949.41,5192717.25,5633502.66,5770943.38,6364828.16,6698679.34,7157388.6,7437997.05,8131768.47,8926488.08,9471854.48,9668336.95,9999321.69,10034564.54,10743727.67,11029135.53,11478398.39,11946194.97,12304137.22,12661846.29,12925942.62,13652066.98,14612142.24,14940252.84,15157243.81,15180510.03,,
Isle of Man,IMN,Total fisheries production (metric tons),ER.FSH.PROD.MT,4900,4900,4500,4000,3600,5100,4600,6000,7200,9800,14700,16900,18000,15500,14791,14505,11242,11844,10504,12407,10106,8642,6298,8322,7668,6974,5778,5561,5624,5696,4085,4562,4481,4850,3571,3734,3537,4289,2214,2609,3552,3112,3127,2984,2627,2764,2579,3812,2770,3555,4814,6844,6172,5745,3755,7781,7040,6759,4431,2939,2742.95,,
India,IND,Total fisheries production (metric tons),ER.FSH.PROD.MT,1161400.01,961000,973900,1045800,1321600,1331300,1367200.01,1400400,1525600,1605000,1758500,1853000,1639100,1960700,2256991,2267192,2177096,2314702.99,2309709.01,2343292.01,2445337,2448342,2369320,2508598.5,2874519.1,2839347.6,3007532.89,2994385,3200962,3718189,3879722,4132494,4324546.01,4566914,4867135,5016546.99,5301687,5485270,5381977,5686963,5668958,5937726,5973298,6074846,6230871,6698487.99,7060154,7005055,7984490,7893598,8505837,8013716,9109122.41,9157940.43,9883495.43,10206040.51,10898848.01,11763989.11,12585959.76,13412384.79,14164000.02,,
Not classified,INX,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Total fisheries production (metric tons),ER.FSH.PROD.MT,42800,32100,29000,27600,31900,35700,39700,50200,53100,66500,78901,74106,92112,90814,89591,88423,95038,93876,104306,93244,150030,191240,212936,204166,240149,260791,261619,282460,292151,240639,275047,293259,307044,340480,355986,450926,400867,364904,403021,363399,363644,453470,381310,363742,368937,357231,294410,301474,279686.5,346095.68,394931.3,287733.27,341529.86,310148.03,337623.94,304020.53,297762.87,321762.94,288136.86,276357.34,246252.76,,
Iran, Islamic Rep.,IRN,Total fisheries production (metric tons),ER.FSH.PROD.MT,20015,20015,20015,18015,18013,20014,21114,22515,24019,24016,26066,24369,19643,20260,69949,68317,72713,73545,72105,72453,52922,55805,106174,112033,117923,120626,154311,215620,235192,260383,269076,275730,327513,343887,333999,368297,381702,400267,400534,411997,424541,413692,401655,441837,474320,522328,575347,561316,562568,599924,663684,734895,833824.08,879160.96,940676.37,977331.92,1087920.81,1195413.61,1268595.92,1289783.39,1282381.46,,
Iraq,IRQ,Total fisheries production (metric tons),ER.FSH.PROD.MT,9000,9000,9000,11300,19200,16800,14100,10200,19100,22002,32100,27200,32000,27700,24246,21832,28283,26101,26100,55228,53245,26219,24000,22500,21000,21441,20564,21250,26461,24555,24229,15235,22823,23941,29247,30808,33237,34702,30074,24606,22512,35300,28000,19200,26883,43949,73942,68842,53826,46977,39668,47831,76117,70913,85625,52099,60135,67034,62673,62338,57474.17,,
Iceland,ISL,Total fisheries production (metric tons),ER.FSH.PROD.MT,630364,734414,847818,797883,989617,1218265,1260773,915607,617636,707632,749177,700435,741987,922575,955304,1002394,1015731,1394027,1579631,1661764,1525455,1450507,802432,855580,1552214,1695897,1668904,1645022,1772738,1518613,1524210,1058740,1585735,1729803,1574168,1627874,2078268,2229114,1703592,1758305,2003670,2008312,2153231,2014911,1764431,1694270,1356353,1425925,1311817,1169803,1087042,1170467.5,1474378.3,1387615,1104102.5,1344991.6,1100677,1219097.7,1299131,1094841.83,1075311.82,,
Israel,ISR,Total fisheries production (metric tons),ER.FSH.PROD.MT,14671,15954,17385,18282,19512,20573,25426,24537,28927,23280,28216,32339,34831,32578,28394,30192,31155,31865,32807,30259,27982,27677,26307,23206,24444,27103,25146,28558,28548,26898,24067,21475,18571,19784,20860,21469,23726,23678,25257,25638,27810,28637,27998,24831,25643,26560,25937,24869,22725,21891,22507,23392,23584.4,24234.6,22208,21764,20502,20051,19073,18996,16716,,
Italy,ITA,Total fisheries production (metric tons),ER.FSH.PROD.MT,216754,245206,223613,234953,327089,356354,372164,375547,366613,372627,417749,426440,439063,424389,468486,450191,471500,423787,451257.4,482593.4,504905.5,513736.09,536817.66,543955.48,580930.73,586603.23,564374.43,554345.68,570726.38,548778.3,530676.17,586520.15,566844.5,563862.4,575759.8,612607.1,557127.5,541368.6,517109.7,495209.35,520705.85,530738.7,456198.1,489594.8,407162.8,481049.1,491439.7,470612.45,386631.26,416951.5,388457.21,381992.41,339485.39,318794.51,332181.76,347531.51,353550.67,354014.39,351936.88,319882.3,264555.72,,
Jamaica,JAM,Total fisheries production (metric tons),ER.FSH.PROD.MT,8500,11500,11900,10000,10000,9000,9000,9000,8500,8500,8500,9300,9500,9600,10100,10100,10130,10109,9797,9851,9250,8050,8200,8961,9965,10731,11275,11170,14652,16160,17054,18390,22340,26340,28717,28300,27755,23485,20956,21414,10052,18831,21042,15451,17966,18766,25722,22014,19005,21338,19342,19150,16034.05,19186.9,16080,17627,18254,20609,16961.63,14626.45,13792.47,,
Jordan,JOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,100,100,200,200,200,200,200,100,100,100,100,200,100,100,92,65,49,31,31,36,56,35,34,32,132,197,267,322,372,407,412,390,402,455,496,595,621,650,763,1025,1119,1060,1041,1131,981,1071,1057,1015,1040,1009,1027,1075,1206.53,1292.24,1546.15,1554.33,1721.14,1854.45,1994.86,2618.73,2638.95,,
Japan,JPN,Total fisheries production (metric tons),ER.FSH.PROD.MT,6253195,6773475,6932330,6769644,6426059,6978764,7202137,8001797,8735332,8667748,9361494,9965446,10338365,10783836,10860284,10567031,10707822,10791999,10858329,10617601,11153004,11412350.43,11502893.12,12012281.46,12824632.63,12154912.78,12797601.46,12567259.05,12827558.68,12031837.23,11189338.93,10076070.06,9373738.29,8807707.26,8206203.91,7551787.42,7465111.11,7442800.62,6734494.49,6652792.01,6502706.14,6166472.2,5906095.35,6119814.31,5728891,5712140.16,5690768.8,5728669.97,5638185.52,5486415.78,5347020.64,4785813,4837508.6,4773380.39,4762592.26,4608629.44,4360221.34,4307055.33,4398547.75,4201040.61,4213797.53,,
Kazakhstan,KAZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100294,101580,87950,82690,68503,59628,47594,50350,45955,33747,26106,37363,37433,23269,25446,26015,33494.2,37744,30301,34371,51473,38473,47051,35754,37677,35503,37547,41191.4,43212.54,44095.99,42936.41,52577.69,52609.76,,
Kenya,KEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,12980,13910,18760,20480,21130,23799,28270,27660,28517,32293,33940,28520,30170,29180,28741,27523,41324,43169,46605,51895,48035,58060,81913,98558,91334,106464,120468,136902,140352,149815,205318,202575,166986,187775,209005,196834.74,182342.35,163232.66,174021.58,209577.39,219770.91,170019.32,149929.33,125355,132194.07,159917,168988,142876,145065,145958,158060,207925,187096,193440,199888,190929,163549,143555,150119,151623,150060,,
Kyrgyz Republic,KGZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1447,1309,1199,843,350,294,392,330,253,247,119,110,324,245,75,27,46,57,121,100,143,379,454.5,387,420,804.93,1099.4,2019.7,2190,2577.7,2695,2570,,
Cambodia,KHM,Total fisheries production (metric tons),ER.FSH.PROD.MT,35000,45000,45000,40000,40000,45000,45000,50000,50000,52000,52200,77100,87100,84700,84700,84700,84704,84711,40925,30053,19706,51594,68715,68161,64424,70578,73651,82224,86896,86556,117081,123954,114892,113785,109454,127202,124510,131600,162700,309536,325098,481700,475282,468665,418152,548000,661152,622705,627500,700000,550094,632839,640695,739468,752912,771243,789405,820202,809119,822050,933260,,
Kiribati,KIR,Total fisheries production (metric tons),ER.FSH.PROD.MT,5000,5000,6000,6000,6000,6000,7500,7500,7500,7500,8800,8900,9100,9200,9475,9650,9824,10053,10606,10838,12929,13502,13009,22485,19393,22859,30801,38226,25445,32211,31968,37379,33536,30568,32769,37386,43176,39522,43226,66050,46634,42562,40956,37625,34974,35574,34510,35287,28393.14,41224.16,47872,67200.02,85822.66,83702.66,123896,149488,174305,162711,197936.53,238694.39,212752.79,,
St. Kitts and Nevis,KNA,Total fisheries production (metric tons),ER.FSH.PROD.MT,600,600,600,700,700,700,800,800,800,800,1000,1000,1000,1000,1000,1218,1684,1695,1790,1777,1935,1900,1930,1177,1115,995,901,924,800,713,623,453,300,250,357,339,687,418,967,934,971,1040,950,874,1112,1517,1180,1276,1343,2065,21755,31072,21888,17718,66143.2,100400.02,65769.93,84959.67,1046.37,654,648.54,,
Korea, Rep.,KOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,357201,424517,469452,532347,600283,640099,703557,760237,841067,879545,877349,1068314,1343126,1687013,2024906,2134241,2405696,2423942,2353886,2421583,2409289,2811021,2642283,2791947,2908544,3093940,3660794,3333418,3216014,3327347,3285474,2983447,3304093,3335883,3478501,3359594,3334372,3268157,2837575,2909480,2506252,2677494,2499127,2502112,2542856,2720037,3052166,3288047,3366428,3204179,3112810,3257172.59,3185582.63,3140678.22,3321209.46,3335841.13,3231871.39,3695614.23,3682961.7,3826385.79,3703320.49,,
Kuwait,KWT,Total fisheries production (metric tons),ER.FSH.PROD.MT,3500,3500,3500,3500,4000,4000,4000,4500,4500,4500,4700,5700,5000,6100,5502,5934,4648,5913,6489,3065,3689,3714,6628,8722,9639,10118,7633,7704,10796,7653,4454,2034,7871,8466,7752,8706,8345,8031,8018,7662,7354,6041,5555,4426,5436,5222,6203,4721,4270.21,4980,6683,4357,3995,4610,4137,4121,5383.16,4173,3068.65,3473.84,3545,,
Latin America & Caribbean (excluding high income),LAC,Total fisheries production (metric tons),ER.FSH.PROD.MT,4207719,5988350,7773264,7727720,10025729,8454875,9868787,11356857,11829984,10484824,14002093,12135656,6457461,4358353,6093755,5437852,6481582,5013240,6614909,6998460,6229708,6476413,7266852,4714855.9,7120297.2,8471388.42,9916132.58,8716690.58,10821684.82,10952298.8,10527147.71,10736580.49,11238408.35,13195745.38,16455368.67,14177502.58,15074118.26,13324488.86,9211225.33,13633020.63,16016767.4,13458402.5,14004146.88,11293934.05,14856181.43,14857607.51,13353210.54,13315041.43,13703076.15,13022824.91,10519503.03,14615378.36,11085832.42,12449175.77,10396686.47,11238086.86,10085399.89,10702186.66,13983146.24,11908497,12491986.18,,
Lao PDR,LAO,Total fisheries production (metric tons),ER.FSH.PROD.MT,12000,12000,15000,15000,15000,15000,18000,18000,18000,18000,20000,20000,20000,20000,20000,22000,22000,22000,22000,24000,24000,24000,24000,26000,26000,26000,26000,28000,28000,28000,28000,29000,30000,30500,35000,40250,39000,40000,40858,60403,71316,81000,93156,94700,94700,86560,86925,91660,93500,105800.5,113000,129600,136001,142846,150597,158600,164000,168869,179208,187701,200021,,
Lebanon,LBN,Total fisheries production (metric tons),ER.FSH.PROD.MT,2100,1900,2000,2200,2000,2300,2500,1800,2500,3000,2300,2000,1800,2400,3100,2405,1710,1620,1740,1675,1740,1570,1520,1500,1500,1700,1875,1913,1813,1813,1510,1812,1861,2212,2437,4385,4485,3955,3920,3860,4066,3970,4760,4693,4661,4611,4624,4518,4575,4580,4580,4580,4480,4280,4125,4665,5318,4644,3729,3555.8,3728,,
Liberia,LBR,Total fisheries production (metric tons),ER.FSH.PROD.MT,4200,3700,4000,4000,4000,4500,5000,6000,6000,7000,8000,8200,8900,9300,10064,10046,10132,10190,10812,13484,11791,13004,13588,15286,14657,11486,16059,18734,16076,14805,6463,9620,8891,7782,7721,8829,8308,8491,10717,14702,11540,10510,11072,10494,13762,12192,8944,14548,7950,10770,11780,13511.05,14128.69,15220.98,14597.19,14189.22,13918.1,12194.1,14362.29,16384.03,31883.68,,
Libya,LBY,Total fisheries production (metric tons),ER.FSH.PROD.MT,2013,1700,1500,1400,1600,2924,3324,4236,5560,6500,5500,5600,2549,2975,4769,4949,4059,2046,4355,4500,12752,13130,14706,10122,11979.78,15900.6,17947,18622,21690,22058,24804,26106,28908,31103,33518,34448,36024,36925,37959,43643,50009,47336,44053,41994,40190,37783,35040,32166,47760,52227.3,50116,30014,34664,35514,24643,25740,29929.39,31883.99,32154.06,32345,31637.35,,
St. Lucia,LCA,Total fisheries production (metric tons),ER.FSH.PROD.MT,600,600,600,600,800,800,900,1000,1100,1100,1419,1519,1519,1627,1700,2000,2200,2500,2600,1024,969,891,921,910,946,1152,940,751,826,847,988,1056,1128,1404,1356,1354,1414,1419,1711,2198,2028,2189,1913,1690,1712,1605,1657.24,1742.39,1902.04,2078.36,1984.9,1832.8,1971.41,2035.94,2017.64,2056.57,2150.08,2118.96,2079.92,1964.82,1515.72,,
Latin America & Caribbean,LCN,Total fisheries production (metric tons),ER.FSH.PROD.MT,4686130,6561455,8561248,8647031,11375810,9385372,11508047,12664436,13460885,11809428,15462681,13917128,7551775,5380019,7549701,6745434,8337501,6872579,9054067,10185397,9691736,10489164.79,11591857.04,9456001.05,12358452.27,14195150.24,16221837.48,14395357.61,16911514.48,18400808.41,16644526.89,17697284.03,18645303.89,20218554.32,25331118.69,23009978.06,23159538.41,20550992.45,13986657.02,19933210.73,21788971,19072463,20118718.58,16796638.05,21941110.93,21271249.06,19504101.54,19030907.53,19242384.44,18447791.79,14863550.59,19667336.03,15787653.34,16388070.2,14845294.99,15083666.17,13648446.23,14967748.42,18321981.47,16406197.66,16808333.56,,
Least developed countries: UN classification,LDC,Total fisheries production (metric tons),ER.FSH.PROD.MT,1715567,1783267,1906677,1909157,2139607,2150687,2279928,2339540,2501159,2691485,2783546,2842279,3253195,3256387,3187783,2856206,2789825,2950240,2885672,2822496,2844336,2936883,2945037,3096002.69,3246246.74,3295455,3491277.39,3639385.12,3757479.28,3851805.72,3998682.56,3948379.52,4135607.03,4246636.39,4189350.38,4521515.41,4478192.25,4945406.66,5074832.38,5587867.16,6030059.34,6511617.6,6825663.05,7382120.47,8078133.05,8550745.59,8779897.96,9278154.98,9380725.79,10117349.96,10421374.25,10875558.84,11346750.79,11770375.18,12088635.15,12354046.77,13132921.84,14048725.34,14186988.52,14389399.34,14328410.54,,
Low income,LIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,747926,796087,836956,890929,917510,992043,1068041,1115390,1206819,1258171,1241712,1303448,1416111,1521374,1605595,1654298,1713441,1792195,2151161,2128769,2103862,2313128,2374637,2154606.55,2429910.4,2426230.11,2656348.93,3126202.66,2918267,3090114,2565291,2477342,2730390,2783285,2397425,2396536,2340460.6,2074540,2028929.9,2117184.55,2195945,2249683.5,2306280.5,2531687.5,2708110.5,2748555.65,2737096.7,2775280.2,2785269.75,2970568.4,3013126.6,3152035.26,3215614.01,3378641.2,3496629.96,3455901.93,3648702.35,3879596.28,3876108.97,4175088.48,4077261.41,,
Liechtenstein,LIE,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Total fisheries production (metric tons),ER.FSH.PROD.MT,48103,59628,73471,71614,91125,74632,79973,82237,98302,95060,89241,74985,91877,96548,100489,109235,131663,136165,156107,164790,183447,201951,216339,220500,162502,177659,183998,187154,205574,220486,183923,211801,206463.08,232200.89,248716.67,237885.92,263818.31,274186.84,289689.86,314072.7,301169.6,271160,275253,323221.2,336857.4,220967,284255,313136,331362,344490.68,398245.14,433676.92,459691.05,492111,527716.99,505162,519265,505164.03,510529.99,506076.89,429161.7,,
Lower middle income,LMC,Total fisheries production (metric tons),ER.FSH.PROD.MT,4860193.01,4916581,5209820,5427178,6174263,6324793,6836069.01,6918987,7266126,7663446,7993915,8391232,8897265,9435326,9512484,9198374,9289253,9795671.99,9986699.91,10165997.81,10491249.1,10937670.08,11240861.64,12220206.28,12663598.54,13048925.58,13830714.4,14373037.91,16201301.33,17068534.44,17732182.66,18171658.17,18607137.93,19280183.29,20225190.83,21349762.4,21884067.97,22906332.1,23347504.17,24848706.05,25960076.76,27402356.29,28057600.02,29582142.55,31426462.2,33695630.89,35451345.38,37417342.96,40081211.58,41884110.33,45212485.19,47264685.64,51347434.78,56080709.98,59241558.1,61552358.58,63511369.76,66430861.21,68125043.26,69092759.77,68722054.58,,
Low & middle income,LMY,Total fisheries production (metric tons),ER.FSH.PROD.MT,14379295.01,16510051,18825042,19404912,22922985,21935824,24203433.01,26468862,28179310,27399177,30714169,29913003,25438878,24194855,26499423,25820040,27054753,27312012.99,29532493.91,29576687.81,29250601.1,30351052.08,32181447.64,31275713.63,34978655.41,37895849.23,41879879.74,43975391.72,57742217.23,59514067.43,59296019.04,61023211.83,65414744.34,71377666.48,79047218.99,83213932.37,88534822.98,88156573.76,87202632.51,95378873.15,100347507.16,99784400.49,103084998.2,104193640.5,112225806.99,116382732.45,118740097.76,122304072.91,126421965.34,130103045.41,133108088.61,140896939.44,145104190.21,153971075.96,157870738.47,163509980.27,167179457.27,172514490.93,178938287.21,179702685.99,181390864.64,,
Lesotho,LSO,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,10,23,27,22,24,27,23,15,19,20,13,23,25,26,30,30,30,25,33,40,40,40,42,44,38,34,40,32,48,46,47,46,47,179,141,152.6,345.4,345.37,450.37,550.43,952.53,1053,1102,1853,2552.46,2602,2657,,
Late-demographic dividend,LTE,Total fisheries production (metric tons),ER.FSH.PROD.MT,6245756,6646278,7321000,7696149,8721370,8900181,10083857,9732393,10271318,10427077,10655912,11794403,12099496,12566642,13286444,13577936,14368852,16012209.5,17210639.9,17494287.8,17840248.1,18986847.29,19491674.04,20809379.72,23104693.73,24855783.66,27258787.61,28550186.54,39860950.04,42093457.8,40174476.57,41824488.26,45138744.78,48360874.32,54264323.65,59980741.91,63510220.45,63156290.16,62718991.66,67023379.02,68601400.01,69160505.81,71633434.61,73138446.88,77342071.34,78970467.19,81140992.62,82666461.27,84055490.03,86786335.43,88132233.35,90540786.82,94468995.81,97151058,100518286.84,102414279.37,104939920.19,107944590.27,110159360.83,112291167.7,113644457.58,,
Lithuania,LTU,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415287,416392,339080,472814,192366,120078,51036,59082,90051,45518,68094,74612,80984,152832,151896,159561,164685,141798,156772,190890,185768,176113.6,153041.99,141836.61,70551.96,95081.88,153902.8,89594.17,111337.74,93519.07,78763.68,106434.56,95560.82,,
Luxembourg,LUX,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544138,541723,459833,412642,157388,142313,138665,149719,143024,106027,102756,125857,136728,128639,117983,115180,125936,151160,140954,156005,158518,163730.2,165367.8,154855.5,94978.54,116672.21,120222.28,82202.85,115066.09,118948.33,136297.62,111507.49,104201.45,,
Macao SAR, China,MAC,Total fisheries production (metric tons),ER.FSH.PROD.MT,5800,5800,5800,5500,5800,7000,7500,7500,7000,7000,5900,6100,5900,6000,6000,6000,7400,7160,9236,7881,6624,7545,6656,6250,8800,9100,8042,3517,2485,3464,2583,2322,2668,1898,1890,1604,1418,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,
St. Martin (French part),MAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,
Morocco,MAR,Total fisheries production (metric tons),ER.FSH.PROD.MT,167700,176681,171949,180535,208582,225486,318584,273366,231491,233719,258205,234819,275077,399728,288734,230525,288995,265437,298157.1,290446.7,335425.6,395731,369537,459373,472826.1,478315.4,600561,499328.2,556448.4,527107.6,575362.3,604051,559470.1,632816.4,761150.2,858883.8,649713,793718.6,716198.1,749002.25,916713.2,1107504.9,971209.6,931316.6,932998.7,1041467,892911.6,893481.5,1006746.7,1176093.5,1144394.23,974656.99,1178164.88,1276496.7,1376286.05,1385067.61,1473464.52,1403400.81,1387814.9,1477511.76,1399150.69,,
Monaco,MCO,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Moldova,MDA,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606,8621,9472,5319,3059,2365,1330,1529,1093,1228,1148,824,1735,1737,2373,3466,5735,6356,6851,7526,7836,8226,8844,9050,9130,9130,11130,11296.05,12141.4,12213,12660,12730,12650,,
Madagascar,MDG,Total fisheries production (metric tons),ER.FSH.PROD.MT,29500,30500,32000,37400,46000,45300,56000,59100,64700,50063,53901,56745,57733,65916,71399,61983,60943,62471,61089,60525,57461,58061,59605,63644,67618,69309,84428,93594,105140,102039,105880,100585,108815,118958,123415,123750,125095,131743,126228,128551,135553,142272,147474,148237,150279,148794,157887,169071,138390,144269,140524,137614,128062.5,117146,111264,137599.21,168831,189946,142336.06,127882.41,124710.45,,
Maldives,MDV,Total fisheries production (metric tons),ER.FSH.PROD.MT,13000,12000,12000,12000,12000,19600,22400,25100,23700,32300,37273,35176,32268,35706,37258,28325,34634,29636,31769,31175,38624,40916,37838,44110,56081,62076,59964,58502,72589,72065,80225,81523,82392,90156,104242,104754,105848,108312,118285,124217,119373,127636,163770,156132,158528,186274,185811,144511,133839,117061,122804,120835,120000,129858,128651.2,127309.46,129322.52,142342.86,150992.99,135062.99,148564.86,,
Middle East & North Africa,MEA,Total fisheries production (metric tons),ER.FSH.PROD.MT,472968,502275,527475,537026,590903,589326,695103,637725,609360,617433,670151,680527,749858,921061,933402,904057,982029,951408,952127.9,992610.8,1023744.1,1044324.08,1092974.64,1215341.24,1261242.88,1357423.99,1525517.55,1576090.05,1764459.65,1708646.32,1768287.06,1821111.55,1855766.81,1967511.32,2172657.47,2359696.68,2165200.21,2376170.51,2392625.7,2552270.48,2822472.93,3136004.99,3042133.97,3156818.72,3230871.97,3417443.61,3467422.94,3429886.22,3523357,3795851.09,3976496.97,3902548.35,4383068.71,4607470.15,4804377.19,4869968.51,5283324.05,5472340.6,5950761.13,6144180.48,6242820.45,,
Mexico,MEX,Total fisheries production (metric tons),ER.FSH.PROD.MT,196513,224915,220300,245600,250100,259700,291600,356700,366800,354400,385068,423585,458856,479714,443705,500013,541156,581249,831426,1025373,1285113,1640147,1435149,1076677.8,1138003.9,1256312.3,1357456.7,1465561.74,1394979.48,1520514.7,1447146.91,1453288.89,1246527.55,1192979.58,1262041.77,1406096.38,1531440.46,1572601.36,1234554.23,1287376.53,1404945.4,1525590.5,1556397.88,1471976.05,1394113.43,1459069.51,1523148.3,1615268.74,1747018.71,1776834.47,1654523,1708972.63,1726260.85,1739217.89,1725628.33,1692480.59,1747434.79,1883689.83,1950854.63,1834394.76,1792449.37,,
Marshall Islands,MHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,160,160,200,200,220,320,400,395,380,300,329,488,388,375,2772,400,500,700,8261,36579,39857,38882,47884,57566,43957,61212,35026,46382.4,59800.53,93318.45,77090,80643,78727.61,89718.2,65229,70318,78365.47,101651.88,88212.27,,
Middle income,MIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,13631369.01,15713964,17988086,18513983,22005475,20943781,23135392.01,25353472,26972491,26141006,29472457,28609555,24022767,22673481,24893828,24165742,25341312,25519817.99,27381332.91,27447918.81,27146739.1,28037924.08,29806810.64,29121107.08,32548745.01,35469619.12,39223530.81,40849189.06,54823950.23,56423953.43,56730728.04,58545869.83,62684354.34,68594381.48,76649793.99,80817396.37,86194362.38,86082033.76,85173702.61,93261688.6,98151562.16,97534716.99,100778717.7,101661953,109517696.49,113634176.8,116003001.06,119528792.71,123636695.59,127132477.01,130094962.01,137744904.18,141888576.2,150592434.76,154374108.51,160054078.34,163530754.92,168634894.65,175062178.24,175527597.51,177313603.23,,
North Macedonia,MKD,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,916,940,1037,604,668,783,1305,1425,915,911,1026,1172,1114,735,1218,1453,1762,1727,1636,1555,1674,1496,1341,1108,1595.4,1499.3,2355,2106.79,,
Mali,MLI,Total fisheries production (metric tons),ER.FSH.PROD.MT,80000,80000,90000,90000,90000,90000,110000,100000,106000,108000,110000,90000,80000,85000,75000,75000,75000,75000,75000,83586,88228,75564,73451,61289,54711,54184,61012,55713,55875,71838,70548,68780,68507,64352,62950,133000,111970,99610,98060,98616,109900,100500,101008,101008,101008,101008,101000,100640,100821,101355,102083,110232,72216,101558.25,81953,94880,106680,110135,95713,116347,125376,,
Malta,MLT,Total fisheries production (metric tons),ER.FSH.PROD.MT,1219,1325,1322,1634,1420,1228,1312,1414,1228,1135,1212,1247,1247,1644,1546,1529,1571,1483,1079,1322,1078,942,1216,999,1226,2585,1168,1052,896,941,799,973,1079,1495,3269,5540,10751,2840,3130,3249,2820,2137,2201,2025,2006,2142,8497,9824,8122,7260,8717,4874.72,9640.11,11432.99,11011.6,13363.07,17218.19,17884.32,22023.22,16312.33,21932.67,,
Myanmar,MMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,360080,360110,360140,360180,360230,360290,360350,381130,396620,414520,432400,442700,453300,463400,433840,485140,501560,518700,539690,564070,580010,594540,584410,587550,613691,648804,686523,685864,704547,733763,743818,735494,757498,791378,810825,823410,673788,863540,912618,1011124,1192112,1309146,1474460,1595870,1986960,2217470,2398440,2512410,2582074,2671896.4,2813941,2795076.4,2850600,2849781,2934805.83,2970100.03,3090034.28,3204303.26,3168575.06,3033272.79,2998582,,
